"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS,","DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS,",,,,,,"","",
"STILL BIRTHS AND RATES URBAN-2011","STILL BIRTHS AND RATES URBAN-2011",,,,,,"","",
"Sl. Birth Death Registered","Sl. Birth Death Registered",,,,,,"Still Birth","Still","Birth"
"No District Registered Rate Registered Rate Infant Death","No District Registered Rate Registered Rate Infant Death",,,,,,"Registered Rate","Registered","Rate"
"1 2 3 4 5 6 7","1","","","","","","8 9","8","9"
"1 BAGALKOTE 35199 18.74 5119 6.06 234","1 BAGALKOTE","5199","8.74","119",".06","34","426 10.35","426","10.35"
"2 BANGALORE (R) 7479 12.80 1722 5.66 27","2 BANGALORE (R)","479","2.80","722",".66","7","4 0.29","4","0.29"
"3 BANGALORE (U) 141434 14.28 48611 4.88 1216","3 BANGALORE (U)","41434","4.28","8611",".88","216","264 2.00","264","2.00"
"4 BELGAUM 54881 14.99 10951 6.80 516","4 BELGAUM","4881","4.99","0951",".80","16","868 13.37","868","13.37"
"5 BELLARY 28309 21.87 6728 6.00 372","5 BELLARY","8309","1.87","728",".00","72","335 6.85","335","6.85"
"6 BIDAR 24793 19.08 2370 3.98 188","6 BIDAR","4793","9.08","370",".98","88","343 4.18","343","4.18"
"7 BIJAPUR 29234 24.59 4040 6.47 398","7 BIJAPUR","9234","4.59","040",".47","98","327 4.35","327","4.35"
"8 CHAMARAJANAGAR 7070 18.18 1329 6.77 18","8 CHAMARAJANAGAR","070","8.18","329",".77","8","14 1.87","14","1.87"
"9 CHICKBALLAPUR 14337 18.50 1655 5.68 36","9 CHICKBALLAPUR","4337","8.50","655",".68","6","85 4.91","85","4.91"
"10 CHIKMAGALUR 14575 16.13 2091 6.51 91","10 CHIKMAGALUR","4575","6.13","091",".51","1","38 2.06","38","2.06"
"11 CHITRADURGA 17439 16.20 3096 7.15 145","11 CHITRADURGA","7439","6.20","096",".15","45","171 10.34","171","10.34"
"12 DAKSHINA KANNADA 30225 16.64 8758 5.05 514","12 DAKSHINA KANNADA","0225","6.64","758",".05","14","333 8.40","333","8.40"
"13 DAVANAGERE 27982 19.04 7100 7.96 483","13 DAVANAGERE","7982","9.04","100",".96","83","231 7.06","231","7.06"
"14 DHARWAD 34689 20.91 10170 6.84 1102","14 DHARWAD","4689","0.91","0170",".84","102","761 9.42","761","9.42"
"15 GADAG 16325 17.45 4104 8.37 170","15 GADAG","6325","7.45","104",".37","70","309 11.27","309","11.27"
"16 GULBARGA 17430 22.41 4339 5.64 310","16 GULBARGA","7430","2.41","339",".64","10","10 0.84","10","0.84"
"17 HASSAN 21600 16.15 3240 5.39 125","17 HASSAN","1600","6.15","240",".39","25","26 0.98","26","0.98"
"18 HAVERI 18665 20.99 2737 7.00 86","18 HAVERI","8665","0.99","737",".00","6","314 10.11","314","10.11"
"19 KODAGU 6146 14.05 884 6.47 114","19 KODAGU","146","4.05","84",".47","14","23 2.63","23","2.63"
"20 KOLAR 17275 19.01 3508 5.75 81","20 KOLAR","7275","9.01","508",".75","1","217 9.09","217","9.09"
"21 KOPPAL 10513 24.31 1661 6.10 36","21 KOPPAL","0513","4.31","661",".10","6","14 2.80","14","2.80"
"22 MANDYA 17392 16.68 2940 5.97 115","22 MANDYA","7392","6.68","940",".97","15","15 0.19","15","0.19"
"23 MYSORE 44644 16.77 11354 6.40 881","23 MYSORE","4644","6.77","1354",".40","81","234 2.75","234","2.75"
"24 RAICHUR 18559 21.62 4114 6.65 249","24 RAICHUR","8559","1.62","114",".65","49","277 9.27","277","9.27"
"25 RAMANAGAR 9712 22.55 1885 6.25 9","25 RAMANAGAR","712","2.55","885",".25","","6 0.00","6","0.00"
"26 SHIMOGA 29433 16.48 5713 6.97 327","26 SHIMOGA","9433","6.48","713",".97","27","329 6.89","329","6.89"
"27 TUMKUR 29496 19.57 4428 6.60 110","27 TUMKUR","9496","9.57","428",".60","10","32 1.14","32","1.14"
"28 UDUPI 16463 17.51 3770 5.12 125","28 UDUPI","6463","7.51","770",".12","25","136 0.67","136","0.67"
"29 UTTARA KANNADA 22150 17.69 3096 6.35 101","29 UTTARA KANNADA","2150","7.69","096",".35","01","173 7.00","173","7.00"
"30 YADGIR 4716 17.37 1074 5.20 19","30 YADGIR","716","7.37","074",".20","9","0.78","0.78",
"STATE 768165 17.56 172587 5.83 8198","STATE","68165","7.56","72587",".83","198","6315 4.76","6315","4.76"
